,name,stars
172,VitorLuizC/dev-demands,23
173,automatica-core/automatica,22
174,awslabs/amplify-graphql-seed-plugin,22
175,pixeljar/local-addon-xdebug-vscode,21
176,perpetual-protocol/perp-maker,21
177,UOA-CS732-SE750-Students-2022/project-group-magenta-mice,21
178,KATT/graphql-workshop,21
179,NoQuarterTeam/split,21
180,mahendrasaikumargandham/portfolio,21
181,iTwin/viewer,20
182,contentful/the-example-app.graphql.js,20
183,licensebat/licensebat,20
184,launchscout/graphql-admin,20
185,Project-Gutenberg/nCovMemory-Web,20
186,devondragon/SpringShopifyAppFramework,20
187,clean-commit/gatsby-starter-henlo,20
188,Polygon-Academy/basicnfts,20
189,phamhongphuc/uit.hotel,19
190,Colm3na/polkastats-v3,19
191,uw-labs/flaggio,19
192,atomist/cli,19
193,moonshotcollective/drecruit,19
194,3perf/website,19
195,rage/ohjelmointi-19,18
196,ocftw/open-star-ter-village,18
197,HausDAO/daohaus-web,18
198,getflywheel/local-addon-atlas,18
199,ericsdevblog/django-vue-starter-blog,18
200,imodeljs/frontend-sample-showcase,17
201,anirudhvs/pragyan-ctf-22,17
202,broxus/ton-dex,17
203,ictsc/ictsc-score-server,17
204,yinMrsir/typescript-admin,17
205,CityOfBoston/digital,17
206,hyd628/delegation-dao-demo,17
207,brave/ads-ui,17
208,Popcorn-moe/Web,16
209,SwissLife-OSS/IdOps,16
210,councilofelders/numerbay,16
211,agiledev0115/meteor-boilerplate,16
212,renproject/command-center,16
213,orbiting/publikator-frontend,16
214,thomaswangio/react-producthunt,16
215,wani-hackase/wanictf21spring-writeup,16
216,libero/reviewer-submission,15
217,aerogear/graphql-testx,15
218,SwissLife-OSS/Boost,15
219,TopSpeed1017/spiritswap-frontend,15
220,BestCryptoKnight/react-admin-with-material-ui-next,15
221,atomist/sdm-pack-aspect,15
222,skovy/graphql-blog-client,15
223,terryyyz/CodeBaseFrontendReactjs,15
224,feedadoc/feedadoc,15
225,aws-samples/aws-appsync-presence-api,15
226,hashicorp/learn-terraform-preview-environment,15
227,Yash621/meta-meet,15
228,naji0329/test-nft-project,15
229,department-stockholm/apollo-component,14
230,bloxapp/awesome-ssv,14
231,HappyDream0317/impermax-x-uniswap-v2-interface,14
232,HappyDream0317/Microservices-GrowLabs,14
233,HappyDream0317/self-serve-mint,14
234,reservoirprotocol/seaport-oracle,14
235,Laravel-VPN-Admin/api-core,14
236,karimould/minimal-multi-language-gatsby-starter-netlify-cms,14
237,getflywheel/local-addon-notes,14
238,getflywheel/local-addon-image-optimizer,14
239,deliteser112/idie-device-rolls,14
240,imodeljs/itwin-viewer,14
241,dong-dohai/serverless-content-encoding,14
242,thestuntcoder/europratsya,14
243,mgx5kw/MistyDAO,14
244,dm-drogeriemarkt/lisa,14
245,danielwii/asuna-admin,13
246,chainsauce-org/chainsauce,13
247,DoBestMan/Bondswap-backend,13
248,RyanCCollins/ryancollinsio,13
249,Akord-com/akord-js,13
250,nguyentung9820/DEX,13
251,Meeovi/Collaborrate,13
252,stevenpslade/maas,13
253,deliteser112/meteor-boiler-plate-app,13
254,ssteiger/minimal-dao,13
255,0xTranqui/lostandfound-zora-marketplace,13
256,bhargavaparoksham/scaffold-eth-lens-starter-kit,13
257,bcgov/digital.gov.bc.ca,13
258,yamapyblack/CryptoFrontier,13
259,alibaba-archive/serverless,12
260,kyma-incubator/varkes,12
261,samarjaffal/wuptick-frontend,12
262,Vandivier/devfit,12
263,DoBestMan/PrepDD,12
264,h-REA/holo-rea-proto,12
265,getflywheel/local-addon-boilerplate,12
266,malgamves/GameOfCharts,12
267,bgoonz/React_Notes_V3,12
268,Jckhe/playBoards-ts,12
269,setsun/react-koa-universal,12
270,cid-harvard/growth-lab-app-front-end,12
271,parity-asia/hackathon-2022-summer,12
272,shafayeatsumit/rugged-multisig,12
273,ruleslabs/interface,12
274,oumoussa98/leeters,12
275,impactasaurus/app,12
276,ziggy6792/cdk-monorepo-example-backend,12
277,newsguildny/nytimesguild.org,12
278,sumit-mahajan/generative-nft-interface,12
279,wslyvh/buidl-explorer,11
280,tomrutgers/middleman-webpack-netlify-cms,11
281,impactMarket/mobile-app,11
282,DoBestMan/spectrum,11
283,sazzer/pusher-mud,11
284,Open-NC/reentry-resources-hub,11
285,aws-samples/realtime-slot-car-racing-with-aws-amplify-aws-iot-core-and-amazon-kinesis-video-streams,11
286,aaronksaunders/amplify-remix-todos-1,11
287,wednesday-solutions/react-graphql-ts-template,11
288,collinsmuriuki/covid-19-monitor,11
289,DeltaPrimeLabs/deltaprime-primeloans,11
290,heyrict/cindy-realtime,11
291,tylim88/Create-Prisma-App,11
292,zapkub/cu-vivid-museum-wiki,11
293,Shopify/fulfillment-order-sample-app,11
294,treejer/web,11
295,SkyCaptainess/Shopify-nextjs,10
296,mrdulin/react-apollo-graphql-starter-kit,10
297,crewnew-git/sveltekit-hasura-docker,10
298,Russell1130/decentral-staking,10
299,mwhorse46/uoona,10
300,CoCo-27/-nextjs-graphql-adminpanel,10
301,Superdev0103/react-graph-demo,10
302,nativesintech/native-owned-businesses,10
303,WorkingFamilies/Spoke_legacy,10
304,getflywheel/local-addon-xdebug-phpstorm,10
305,DanieleSalatti/gitcoin-grants-conviction,10
306,marian2js/finsharing,10
307,OtterClam/otter-frontend,10
308,atomist/uhura,10
309,aciura/Solidity-Marketplace-Dapp,10
310,michey85/apollo-qql-todos,10
311,austintgriffith/banana-auction,10
312,amclin/react-project-boilerplate,10
313,BlockedTODO/BlockedTODO,10
314,0xTranqui/lostandfound-optimism-marketplace,10
315,deliteser112/meteor-graphql-react-device,10
316,bedwarsify/bedwarsify-overlay,10
317,dtan4/ec2-event-slack-notifier,10
318,getflywheel/local-addon-instant-reload,10
319,snipcart/Strapi-Nuxt-Snipcart,10
320,stvkoch/graphqlizejs,10
321,ruoduan-hub/my-Gatsby-Blog,10
322,StarlingXWeb/starlingx-website,10
323,my-lambda-projects/Lambda,10
324,newjersey/navigator.business.nj.gov,10
325,rage/ohjelmointi-20,9
326,pmbanugo/graphql-angular-intro,9
327,VitroidFPV/VitroidFPV,9
328,Zilliqa/devex,9
329,BlossomLabs/osmotic-funding,9
330,PrefectHQ/memory-graphql,9
331,dan2dev/DefinitelyTyped,9
332,holochain-open-dev/social-triangulation,9
333,Jarred-Sumner/yeet,9
