,name,id,url,total_dependents_number,public_dependents_number,private_dependents_number,public_dependent_stars,badges.total,badges.public,badges.private,badges.stars
0,apollo-client,UGFja2FnZS00ODk5NTYxMzE%3D,https://github.com/apollographql/apollo-client/network/dependents?package_id=UGFja2FnZS00ODk5NTYxMzE%3D,167083.0,1000.0,166083.0,11.0,[![](https://img.shields.io/static/v1?label=Used%20by&message=167083&color=informational&logo=slickpic)](https://github.com/apollographql/apollo-client/network/dependents?package_id=UGFja2FnZS00ODk5NTYxMzE%3D),[![](https://img.shields.io/static/v1?label=Used%20by%20(public)&message=1000&color=informational&logo=slickpic)](https://github.com/apollographql/apollo-client/network/dependents?package_id=UGFja2FnZS00ODk5NTYxMzE%3D),[![](https://img.shields.io/static/v1?label=Used%20by%20(private)&message=166083&color=informational&logo=slickpic)](https://github.com/apollographql/apollo-client/network/dependents?package_id=UGFja2FnZS00ODk5NTYxMzE%3D),[![](https://img.shields.io/static/v1?label=Used%20by%20(stars)&message=11&color=informational&logo=slickpic)](https://github.com/apollographql/apollo-client/network/dependents?package_id=UGFja2FnZS00ODk5NTYxMzE%3D)
1,@apollo/client,UGFja2FnZS01NjY2MjcwNTg%3D,https://github.com/apollographql/apollo-client/network/dependents?package_id=UGFja2FnZS01NjY2MjcwNTg%3D,188309.0,1000.0,187309.0,28.0,[![](https://img.shields.io/static/v1?label=Used%20by&message=188309&color=informational&logo=slickpic)](https://github.com/apollographql/apollo-client/network/dependents?package_id=UGFja2FnZS01NjY2MjcwNTg%3D),[![](https://img.shields.io/static/v1?label=Used%20by%20(public)&message=1000&color=informational&logo=slickpic)](https://github.com/apollographql/apollo-client/network/dependents?package_id=UGFja2FnZS01NjY2MjcwNTg%3D),[![](https://img.shields.io/static/v1?label=Used%20by%20(private)&message=187309&color=informational&logo=slickpic)](https://github.com/apollographql/apollo-client/network/dependents?package_id=UGFja2FnZS01NjY2MjcwNTg%3D),[![](https://img.shields.io/static/v1?label=Used%20by%20(stars)&message=28&color=informational&logo=slickpic)](https://github.com/apollographql/apollo-client/network/dependents?package_id=UGFja2FnZS01NjY2MjcwNTg%3D)
2,apollo-boost,UGFja2FnZS01MTI3MTcwNg%3D%3D,,,,,,,,,
3,apollo-cache,UGFja2FnZS0xNTAyODg3MQ%3D%3D,,,,,,,,,
4,apollo-cache-inmemory,UGFja2FnZS0xNjYyMzY5MQ%3D%3D,,,,,,,,,
5,apollo-utilities,UGFja2FnZS0xNjYyMzg1OA%3D%3D,,,,,,,,,
6,github.com/apollographql/apollo-client,UGFja2FnZS0yMjc1MzIyOTI4,,,,,,,,,
7,graphql-anywhere,UGFja2FnZS0xNjYwODIyNQ%3D%3D,,,,,,,,,
